%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted),Annotations
13296,10.911996736820887,3.4929634617486,2.7767853393160813,-3.170505605456293,-1.1347122711024515,-1.4546993154056302,-3.7578456691262447,-5.529738863042459,-2.173933059849791,3.314260608702213,-6.334662991746342,-7.937492569310685,-2.2378850080985764,-2.7435989886023116,-6.654395973659575,-4.722620150411926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13297,1.8567489283866814,-4.395513755123341,-1.6792231247216578,-11.130801190210303,-3.6125561913521236,-9.470425861273899,-4.3244341368978905,-10.315006181237607,0.0029602610410144337,-3.451501096584291,-4.317651917463592,-12.258270816728825,-2.0721402389097427,-6.801606398798739,-6.168735450569827,-9.917438306822095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13298,-3.7178546225145177,-6.308929700843972,-3.840028159756335,-8.822825323686189,-4.5813102238886865,-6.121928087387472,-5.713764315068379,-7.237984582129079,2.1655952432296317,-5.043827280148612,-4.379815920912607,-11.958376872931833,-1.5405332250426298,-6.421584567104762,-6.305838196329361,-11.169310342387066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13299,-2.628458593900831,-3.813436042490121,-2.7903518379183776,-0.5626891792628712,-4.210062864626297,-0.014894108693779273,-2.110051550968006,-0.6931878433442602,1.3936371216932173,-1.9228988958511337,-3.029270391475338,-4.197028766707319,-0.9758032545208515,-2.801454497218735,-6.911877494096753,-4.171037440882784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13300,-0.6963277281925908,-3.2360806012030467,-0.4288305759560256,-7.080254779256102,-2.16685047014586,-1.3656605439774445,-2.0845738116136827,-2.234645038180817,0.5213785697370419,-0.7080894902560786,3.0101638683306806,1.8032026429931314,2.116071447047421,0.5546240222317635,0.14128762409913165,4.961630941247073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13301,-2.4215915951640348,-6.856631785236932,1.8082375070280472,-14.214612533986681,-2.0612998711905632,-2.5129283719948496,-4.528882048754987,-6.8928628122951405,-0.1567255005107171,-3.074226205446223,3.281699545812865,-0.014959957585084283,2.82761168229802,0.02157235176394323,4.838802931526455,5.715678005409794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13302,-5.074084147115672,-8.388581875326658,-1.437358816727376,-6.55162793668697,-5.578649203794784,0.08797527113247838,-1.1183098261707975,-4.453822317900489,-4.28584735772554,-5.915510647100621,1.9568584545511616,-1.2289426008801492,0.06160433618489236,-2.4778791443802106,5.705011184827022,4.73244140232155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13303,-1.1407847314409736,-1.8968729598874852,-3.4111011261865976,1.9551046109403991,-4.447296830441333,6.537028030399846,0.8484694459698492,2.850894009461868,-8.328480907065082,-3.234084889753351,4.300172647113422,4.7892454079104425,-0.4587632517977376,0.27565911807806387,9.07447874994808,10.87008646908409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13304,6.236452981237456,4.8560681095665075,3.602432411175304,5.638400777728641,1.9753251170011001,14.714930316580743,-0.43069712517688075,7.0968382549034725,-5.87673119659919,2.6142584384068996,2.625644968839243,8.3268242872559,-0.29445007300411064,3.7077595330562083,7.2064654190829,12.426913867833466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13305,4.56635078381939,4.7536859481407845,7.7771103559333055,5.567734615732462,4.937326945458221,18.397503129875776,2.029598522207543,5.737070502316923,0.45007298731547607,4.519963991378189,1.3244867327205885,6.235185540802609,0.7247102378157066,2.6203452011471615,3.4052754674528423,7.314801138970021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13306,-0.632830218829529,3.2194919280957066,3.300211524321525,2.5609303355781385,2.1354907489306783,19.89302620460216,3.2722572578402307,2.9475368631519494,0.3650867408767926,1.3235356751323266,2.9373118955906126,3.2919710831153886,1.4802782363866953,-0.2515554620539504,5.150039517662753,4.49057916219891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13307,1.224623024750855,4.809282761572838,1.8791578613202935,2.7275858783099096,1.5292132117130226,22.354039543735645,2.135016531696426,2.6112247316656987,-1.1634061570814538,-0.4077156908672972,4.488650010803701,2.522469165522514,2.6696948836394654,-0.9611585085269638,7.072442482214225,4.245250797853918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13308,2.871278816944365,4.7594300804894765,4.1542435669333635,0.22577733871851358,4.578311404411256,21.849202085650454,2.5936129439239153,1.016080793382521,1.1219605963183863,-1.6727815811142186,4.822131986807893,1.7401199832115406,4.465246166537069,-1.8777503054905793,5.82874501799384,4.1200621938312025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13309,3.0798639789261557,4.992999796135141,4.401052698010211,-1.6190658863229004,5.07185732626303,23.746467731318717,3.002810481754846,-1.3716389795214958,2.5236172733204802,-4.652467895936588,3.190433964263791,0.7065331664014209,4.526489547923531,-2.653263579665758,4.7065193899072195,5.434122483786143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13310,4.60760655867254,6.572081656165711,3.317845517040781,2.5054237722097596,3.068942214452939,27.19463579477425,1.8145448328093288,-2.7165666032229883,4.171333515105425,-3.8408285284226507,4.2885730990174,3.453152901416991,5.781467718766855,0.4455147959524961,7.646513950071151,7.9410854170884235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13311,1.240179514485611,3.356881455140833,-0.6022127341599299,-0.9603734804591095,3.1518856892290206,24.717063345674546,0.4189087768998796,-5.19410976548515,3.5292939185932326,-2.996865102584953,6.641445176643973,4.145401380478133,6.397719646390558,1.1130829266022584,9.54629693574509,6.554137378561276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13312,-4.974071928341097,-0.8929219431427136,-3.651931580174801,-8.899301961241417,5.215516598099503,21.774803765935047,-2.607738742746619,-6.667473421177174,-0.9147469266228452,-5.507230793929445,1.6548455111275437,-0.23902115100979593,1.9078195329467293,-2.071808412837643,4.330117437621538,3.721178039536401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13313,-5.618439086851467,-1.4385321842290466,-3.03399203721916,-8.267322611872551,4.8173658330411335,22.742002727877914,-5.137035434165124,-4.895421398895289,-2.133813487020481,-4.395657594594119,-1.8448081176397837,-0.4963458189698666,-0.3561212443741488,-0.5054127073542356,3.1377888954165645,7.079336294077823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13314,-1.3472466919672428,0.2830910485056286,-0.6296036153019176,-0.06092480770576181,6.070039554270202,29.532187235929946,-1.8144926579228802,0.8176486441194157,-1.0639471630254054,0.16169187041241884,1.5651889151881795,3.2220019829145543,1.0508399862306614,2.972557217389956,7.414500331908284,11.212345118735314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13315,2.960689736775006,5.511715285512949,4.452943279919703,7.708851502837904,14.216006817059371,39.61729974012471,1.6138596611506486,6.4849570277082895,0.018289061418872876,5.383402903433094,-2.68154970443279,5.868634734832003,-1.8309191313887503,3.515049528752254,-1.59977006628076,7.122409218281973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13316,0.8879201257418323,5.635773270301232,4.055489916778199,3.2710405560642783,17.250472401961822,39.89818545223595,-1.7387201527205605,3.0134619941363834,1.9790380532683738,7.923545476461532,-9.1156769584789,5.432634945988987,-5.4755845292362135,2.4311604939396076,-12.073464760569943,0.024400066410867005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13317,-5.198747849409337,-0.6662236736765692,-0.08459576065537877,-3.89337202780675,14.57843905989553,35.45557509138674,-4.2270919582019815,-1.590588786320156,3.6939451896307,4.744104210484515,-4.7962234786102815,2.5611384053993724,-3.100626973721596,0.6906672876138895,-5.147442752739632,-1.3367789509992365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
